,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Engine,Power,Seats,Price,Manufacturer,Price_km
3274,Ford Fiesta Diesel Titanium Plus,Hyderabad,2012,45122,Diesel,Manual,First,1498.0,88.7,5.0,6.0,Ford,1464.7549999999999
45,Toyota Corolla Altis G AT,Mumbai,2016,52001,Petrol,Automatic,First,1798.0,138.03,5.0,10.11,Toyota,994.3163999999999
1260,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Bangalore,2016,51944,Diesel,Automatic,First,2143.0,170.0,5.0,32.5,Mercedes-Benz,1201.0991
1096,Mahindra XUV300 W8 Diesel,Chennai,2012,97000,Diesel,Manual,First,1497.0,115.0,5.0,7.25,Mahindra,1246.6
1443,Maruti Alto K10 VXI,Hyderabad,2016,10000,Petrol,Manual,First,998.0,67.1,5.0,3.5,Maruti,1675.9941
2118,Mahindra XUV500 W10 2WD,Delhi,2015,62000,Diesel,Manual,First,2179.0,140.0,7.0,10.25,Mahindra,997.28
2944,Tata Manza Aura Quadrajet,Hyderabad,2010,76000,Diesel,Manual,First,1248.0,90.0,5.0,2.7,Tata,1171.804
1187,Hyundai Verna VTVT 1.6 AT SX Option,Mumbai,2015,40600,Petrol,Automatic,First,1591.0,121.3,5.0,7.2,Hyundai,1183.71
5465,Maruti Wagon R VXI,Jaipur,2017,35362,Petrol,Manual,First,998.0,67.04,5.0,3.85,Maruti,1566.675
2673,Skoda Octavia Elegance 2.0 TDI AT,Ahmedabad,2015,71826,Diesel,Automatic,First,1968.0,141.0,5.0,15.5,Skoda,1202.969
1030,Toyota Fortuner 2.8 4WD MT,Kochi,2013,105072,Diesel,Manual,First,2755.0,174.5,7.0,13.28,Toyota,887.5792
2268,Ford Ecosport 1.5 Ti VCT MT Titanium,Mumbai,2013,25984,Petrol,Manual,First,1499.0,110.0,5.0,5.35,Ford,1100.154
300,Toyota Innova 2.5 VX (Diesel) 7 Seater,Hyderabad,2010,109000,Diesel,Manual,Second,2494.0,100.6,7.0,8.26,Toyota,809.6667
2536,Skoda Rapid 1.5 TDI Ambition,Coimbatore,2018,5833,Diesel,Manual,First,1498.0,108.4,5.0,11.92,Skoda,1317.0329
1472,Hyundai Elantra 2.0 SX Option AT,Delhi,2017,9500,Petrol,Automatic,First,1999.0,149.92,5.0,16.35,Hyundai,1017.9905999999999
283,Skoda Laura 1.9 TDI AT Ambiente,Mumbai,2009,48000,Diesel,Automatic,Second,1896.0,105.0,5.0,2.95,Skoda,1059.61
5974,Volkswagen Ameo 1.2 MPI Highline,Ahmedabad,2016,34005,Petrol,Manual,First,1198.0,73.75,5.0,5.75,Volkswagen,1183.71
3927,Maruti Ciaz Alpha,Mumbai,2017,19416,Petrol,Manual,First,1462.0,103.25,5.0,8.25,Maruti,1501.2227999999998
4766,Volkswagen Vento Diesel Highline,Chennai,2012,55000,Diesel,Manual,First,1598.0,103.6,5.0,4.9,Volkswagen,1280.2582
3362,BMW X1 sDrive20d,Mumbai,2013,43000,Diesel,Automatic,First,1995.0,184.0,5.0,17.5,BMW,1062.7265
1813,Hyundai i20 Sportz Petrol,Mumbai,2010,73000,Petrol,Manual,First,1197.0,80.0,5.0,2.75,Hyundai,1183.71
3905,Toyota Camry Hybrid,Delhi,2014,67000,Petrol,Automatic,First,2494.0,158.2,5.0,18.75,Toyota,1334.1108
3692,Ford Fiesta 1.4 ZXi Duratec,Pune,2008,76000,Petrol,Manual,Second,1388.0,68.0,5.0,1.49,Ford,1155.858
4151,Chevrolet Enjoy 1.3 TCDi LTZ 8,Chennai,2014,45000,Diesel,Manual,First,1248.0,73.74,8.0,4.75,Chevrolet,1134.406
1862,Honda City 1.5 S MT,Delhi,2011,68000,Petrol,Manual,First,1497.0,118.0,5.0,3.6,Honda,1183.71
4527,Mercedes-Benz GLE 350d,Chennai,2016,29000,Diesel,Automatic,First,2987.0,254.79,5.0,65.0,Mercedes-Benz,721.1581
3807,Skoda Octavia Ambiente 1.9 TDI,Delhi,2008,80000,Diesel,Manual,First,1896.0,66.0,5.0,2.2,Skoda,1165.571
5683,Ford Ecosport 1.5 Ti VCT MT Titanium,Bangalore,2013,58000,Petrol,Manual,First,1499.0,110.0,5.0,7.5,Ford,1100.154
2287,Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,90121,Petrol,Manual,First,998.0,67.1,5.0,2.2,Maruti,1456.6596
2622,Renault Duster 85PS Diesel RxE,Pune,2016,54000,Diesel,Manual,First,1461.0,83.8,5.0,6.5,Renault,1238.4971
4003,Jaguar XF 2.2 Litre Luxury,Mumbai,2018,3000,Diesel,Automatic,First,2179.0,187.7,5.0,52.5,Jaguar,1019.7188
3164,Ford Ecosport 1.5 Ti VCT MT Titanium,Hyderabad,2013,100000,Petrol,Manual,Second,1499.0,110.0,5.0,6.5,Ford,1100.154
5972,Hyundai Santro Xing GL,Mumbai,2008,65000,Petrol,Manual,Second,1086.0,62.0,5.0,1.39,Hyundai,0.0
4852,Ford Figo Diesel EXI,Chennai,2010,107389,Diesel,Manual,Second,1399.0,68.0,5.0,1.9,Ford,1246.6
2410,Maruti Vitara Brezza ZDi Plus,Jaipur,2017,48324,Diesel,Manual,First,1248.0,88.5,5.0,9.0,Maruti,1514.619
5478,Honda City i DTEC SV,Kochi,2015,64465,Diesel,Manual,First,1498.0,98.6,5.0,6.22,Honda,1620.58
257,Maruti Omni MPI CARGO BSIII W/ IMMOBILISER,Jaipur,2011,35000,Petrol,Manual,Third,796.0,35.0,5.0,1.85,Maruti,1371.7109999999998
507,Honda Mobilio S i VTEC,Mumbai,2015,25000,Petrol,Manual,Second,1497.0,117.3,7.0,4.25,Honda,1204.599
1961,Maruti Vitara Brezza ZDi,Hyderabad,2016,41372,Diesel,Manual,First,1248.0,88.5,5.0,9.3,Maruti,1514.619
99,Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,Petrol,Manual,First,1598.0,103.5,5.0,2.65,Volkswagen,1062.5538
4761,Maruti Wagon R LXI,Jaipur,2004,62000,Petrol,Manual,Second,998.0,67.1,5.0,1.25,Maruti,1316.0069999999998
744,Volkswagen Vento Petrol Highline,Kochi,2012,121377,Petrol,Manual,First,1598.0,103.6,5.0,3.8,Volkswagen,1047.2351999999998
2705,Hyundai Santro Xing GLS,Hyderabad,2008,68282,Petrol,Manual,First,1086.0,62.1,5.0,2.25,Hyundai,1247.7696
5566,Hyundai Creta 1.4 CRDi S Plus,Coimbatore,2016,55687,Diesel,Manual,First,1396.0,88.7,5.0,12.15,Hyundai,1332.6154
1375,Honda City 1.5 S AT,Bangalore,2016,36000,Petrol,Automatic,First,1497.0,118.0,5.0,9.45,Honda,1169.7839999999999
3939,Mercedes-Benz S-Class 320 L,Mumbai,2006,30000,Petrol,Manual,First,2987.0,210.0,5.0,10.75,Mercedes-Benz,905.1899999999999
3836,Audi A6 35 TFSI Matrix,Delhi,2018,22000,Petrol,Automatic,First,1798.0,187.74,5.0,41.5,Audi,1062.5538
3558,Ford Figo Diesel ZXI,Delhi,2014,66000,Diesel,Manual,First,1399.0,68.05,5.0,3.47,Ford,1246.6
1973,Maruti Swift Dzire VXI,Hyderabad,2012,65097,Petrol,Manual,First,1197.0,85.8,5.0,4.7,Maruti,1329.933
4235,Maruti Wagon R LXI,Jaipur,2011,80000,Petrol,Manual,First,998.0,67.1,5.0,2.5,Maruti,1316.0069999999998
1157,Hyundai Grand i10 1.2 Kappa Asta,Hyderabad,2017,20000,Petrol,Manual,First,1197.0,81.86,5.0,5.98,Hyundai,1316.0069999999998
1858,Chevrolet Spark 1.0 LS,Pune,2009,44200,Petrol,Manual,Second,995.0,62.0,5.0,1.6,Chevrolet,1253.34
4378,Hyundai Xcent 1.1 CRDi S,Mumbai,2016,29000,Diesel,Manual,First,1120.0,71.0,5.0,5.95,Hyundai,1520.8519999999999
2654,BMW X5 3.0d,Coimbatore,2010,101119,Diesel,Automatic,First,2993.0,235.0,5.0,18.46,BMW,685.63
5004,Maruti Eeco 5 STR With AC Plus HTR CNG,Kochi,2018,43912,CNG,Manual,First,1196.0,73.0,5.0,4.33,Maruti,634.1999999999999
1437,Ford EcoSport 1.5 Petrol Titanium,Pune,2018,17000,Petrol,Manual,First,1497.0,121.36,5.0,9.2,Ford,1183.71
4982,Maruti Swift VXI BSIII W/ ABS,Kochi,2018,14589,Petrol,Manual,First,1298.0,88.2,5.0,5.65,Maruti,1121.0430000000001
366,Toyota Etios GD,Kolkata,2014,45000,Diesel,Manual,First,1364.0,67.05,5.0,3.25,Toyota,1470.3646999999999
4403,Honda Amaze V Petrol,Jaipur,2018,6000,Petrol,Manual,First,1199.0,86.76,5.0,6.7,Honda,1357.7849999999999
2955,Maruti Ertiga ZDI,Chennai,2012,40000,Diesel,Manual,First,1248.0,88.8,7.0,7.0,Maruti,1294.5941
402,Maruti Alto LX,Jaipur,2010,125000,Petrol,Manual,First,796.0,46.3,5.0,0.92,Maruti,1371.7109999999998
4655,Ford Fiesta Classic 1.4 Duratorq LXI,Mumbai,2014,61000,Diesel,Manual,First,1388.0,67.0,5.0,2.98,Ford,1159.338
3607,Mercedes-Benz New C-Class C250 Avantgarde,Delhi,2011,64000,Petrol,Automatic,Second,1796.0,186.0,5.0,12.5,Mercedes-Benz,817.4562
949,Hyundai Verna CRDi SX,Hyderabad,2013,82966,Diesel,Manual,First,1493.0,110.0,5.0,7.2,Hyundai,1047.144
2795,BMW X5 X5 M,Pune,2015,69002,Diesel,Automatic,First,2993.0,258.0,5.0,50.0,BMW,995.4101
19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,Diesel,Automatic,First,2143.0,167.62,5.0,28.0,Mercedes-Benz,924.9771999999999
229,Ford Figo Diesel,Bangalore,2015,70436,Diesel,Manual,First,1498.0,99.0,5.0,3.6,Ford,0.0
4396,Maruti Ertiga ZDI,Kolkata,2012,38092,Diesel,Manual,First,1248.0,88.8,7.0,5.2,Maruti,1294.5941
668,Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,2017,18108,Diesel,Manual,First,1248.0,88.5,5.0,11.31,Maruti,1514.619
218,Skoda Rapid 1.6 MPI AT Style Black Package,Mumbai,2017,10500,Petrol,Automatic,First,1598.0,103.52,5.0,8.9,Skoda,995.709
5018,Honda Jazz VX Diesel,Hyderabad,2017,17151,Diesel,Manual,First,1498.0,98.6,5.0,8.4,Honda,1701.609
5209,Mahindra XUV500 AT W10 FWD,Hyderabad,2016,80999,Diesel,Automatic,First,2179.0,140.0,7.0,14.4,Mahindra,997.28
4513,Jaguar XF 2.2 Litre Executive,Bangalore,2015,19000,Diesel,Automatic,Second,2179.0,187.7,5.0,38.0,Jaguar,1019.7188
2526,Hyundai i20 Sportz 1.2,Mumbai,2017,14001,Petrol,Manual,First,1197.0,81.83,5.0,5.75,Hyundai,1295.118
4400,Volkswagen Polo Petrol Highline 1.6L,Kolkata,2011,46000,Petrol,Manual,First,1598.0,103.5,5.0,2.35,Volkswagen,1062.5538
585,Toyota Fortuner 4x2 AT,Mumbai,2015,43690,Diesel,Automatic,First,2982.0,168.5,7.0,17.11,Toyota,782.2415
5774,Hyundai Getz GLE,Hyderabad,2007,58307,Petrol,Manual,First,1341.0,83.0,5.0,1.95,Hyundai,1065.339
2937,Toyota Innova Crysta 2.8 GX AT 8S,Delhi,2017,18000,Diesel,Automatic,First,2755.0,171.5,8.0,18.25,Toyota,708.0687999999999
5281,Maruti Ertiga ZXI,Mumbai,2012,25000,Petrol,Manual,Second,1373.0,91.1,7.0,5.15,Maruti,1218.5249999999999
3929,Honda City i VTEC CVT VX,Hyderabad,2017,12538,Petrol,Automatic,First,1497.0,117.3,5.0,12.5,Honda,1253.34
3846,Maruti Alto LX,Hyderabad,2010,94753,Petrol,Manual,First,796.0,46.3,5.0,1.95,Maruti,1371.7109999999998
4865,Honda Amaze S i-Dtech,Kochi,2016,46983,Diesel,Manual,First,1498.0,98.6,5.0,5.77,Honda,1608.114
3184,Hyundai Grand i10 Asta,Bangalore,2016,51866,Petrol,Manual,First,1197.0,82.0,5.0,5.5,Hyundai,1316.0069999999998
777,Hyundai Verna 1.6 SX,Bangalore,2012,67000,Diesel,Manual,First,1582.0,126.32,5.0,6.25,Hyundai,1391.2056
5672,Hyundai Verna 1.6 CRDi SX,Ahmedabad,2015,60000,Diesel,Manual,First,1582.0,126.2,5.0,6.99,Hyundai,1489.687
1018,Maruti Swift Dzire VDI Optional,Kochi,2019,18592,Diesel,Manual,First,1248.0,74.0,5.0,8.51,Maruti,1657.3546999999999
1606,Honda Amaze VX i-DTEC,Kochi,2015,61691,Diesel,Manual,First,1498.0,98.6,5.0,5.38,Honda,1608.114
2518,Maruti Swift Dzire ZDI,Ahmedabad,2012,56121,Diesel,Manual,First,1248.0,74.0,5.0,4.25,Maruti,1458.522
2821,Hyundai i20 Active 1.2 SX,Coimbatore,2017,35043,Petrol,Manual,First,1197.0,81.86,5.0,8.19,Hyundai,1196.9397
3443,Toyota Innova 2.5 V Diesel 8-seater,Chennai,2011,122000,Diesel,Manual,Second,2494.0,102.0,8.0,10.75,Toyota,797.8240000000001
3217,Honda City i-VTEC CVT VX,Jaipur,2017,35000,Petrol,Automatic,First,1497.0,117.3,5.0,7.7,Honda,1253.34
1491,Maruti Ritz VXI,Mumbai,2014,33000,Petrol,Manual,First,1197.0,85.8,5.0,3.25,Maruti,1469.193
4786,Ford Figo Diesel ZXI,Mumbai,2011,30000,Diesel,Manual,First,1399.0,68.0,5.0,3.2,Ford,1246.6
3887,BMW 3 Series 320d Luxury Line,Mumbai,2013,38000,Diesel,Automatic,First,1995.0,184.0,5.0,19.5,BMW,1176.7903999999999
3481,Hyundai i20 Asta Option 1.2,Mumbai,2015,25000,Petrol,Manual,First,1197.0,81.83,5.0,5.65,Hyundai,1295.118
5768,Hyundai Creta 1.6 CRDi SX,Kochi,2017,30519,Diesel,Manual,First,1582.0,126.2,5.0,12.81,Hyundai,1226.0311000000002
5241,Ford EcoSport 1.5 Petrol Titanium,Hyderabad,2017,21800,Petrol,Manual,First,1497.0,121.36,5.0,8.75,Ford,1183.71
4251,Audi Q5 3.0 TDI Quattro,Bangalore,2015,63000,Diesel,Automatic,First,2967.0,241.4,5.0,34.5,Audi,824.0026
1593,Hyundai EON Magna Plus,Hyderabad,2013,20000,Petrol,Manual,Second,814.0,55.2,5.0,2.3,Hyundai,1469.193
517,Toyota Etios G,Coimbatore,2013,27075,Petrol,Manual,First,1496.0,88.73,5.0,4.95,Toyota,1225.488
321,Honda Accord 2.4 A/T,Mumbai,2011,60000,Petrol,Automatic,First,2354.0,177.6,5.0,4.45,Honda,814.6709999999999
3653,Maruti Baleno Zeta Automatic,Kochi,2018,25858,Petrol,Automatic,First,1197.0,83.1,5.0,7.54,Maruti,1490.0819999999999
5986,Hyundai Getz GLS,Jaipur,2005,100000,Petrol,Manual,Second,1341.0,83.0,5.0,0.85,Hyundai,1065.339
4340,Honda City i VTEC VX,Kolkata,2014,39000,Petrol,Manual,First,1497.0,117.3,5.0,6.25,Honda,1211.562
3706,BMW 3 Series Luxury Line,Mumbai,2016,31000,Diesel,Automatic,First,1995.0,190.0,5.0,29.95,BMW,1356.3008
217,Hyundai i10 Magna 1.1,Pune,2012,44000,Petrol,Manual,Second,1086.0,68.05,5.0,2.9,Hyundai,1379.3702999999998
2669,Ford Endeavour 3.2 Trend AT 4X4,Coimbatore,2018,51530,Diesel,Automatic,First,3198.0,197.2,7.0,30.27,Ford,680.0203
2945,Honda Jazz 1.5 SV i DTEC,Mumbai,2016,48719,Diesel,Manual,First,1498.0,98.6,5.0,6.25,Honda,1701.609
360,Maruti Swift Dzire VXi AT,Mumbai,2016,18000,Petrol,Automatic,First,1197.0,83.14,5.0,6.2,Maruti,1288.155
4385,Maruti Baleno Zeta 1.3,Delhi,2015,54000,Diesel,Manual,First,1248.0,74.0,5.0,5.95,Maruti,1707.2187
3352,Renault KWID RXT,Jaipur,2016,12500,Petrol,Manual,First,799.0,53.3,5.0,3.0,Renault,1752.5871
3024,Mahindra XUV500 W6 2WD,Hyderabad,2015,113000,Diesel,Manual,First,2179.0,140.0,7.0,10.85,Mahindra,941.183
2941,Hyundai Santro Xing GL Plus LPG,Hyderabad,2014,56000,LPG,Manual,First,1086.0,62.1,5.0,3.2,Hyundai,10006.8
1052,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Mumbai,2010,49000,Diesel,Automatic,First,2143.0,170.0,5.0,8.95,Mercedes-Benz,1201.0991
3742,Maruti Omni 8 Seater BSIV,Hyderabad,2017,24571,Petrol,Manual,First,796.0,35.0,5.0,2.9,Maruti,974.8199999999999
759,Maruti Swift VXI BSIV,Coimbatore,2016,37806,Petrol,Manual,First,1197.0,81.8,5.0,5.2,Maruti,1420.4519999999998
4678,Hyundai Verna 1.4 EX,Chennai,2013,79000,Diesel,Manual,First,1396.0,88.7,5.0,6.5,Hyundai,1464.7549999999999
4053,Honda City ZX CVT,Kolkata,2006,44000,Petrol,Automatic,First,1497.0,78.0,5.0,1.5,Honda,1141.9319999999998
3789,Maruti S Cross DDiS 200 Alpha,Ahmedabad,2016,58000,Diesel,Manual,First,1248.0,88.5,5.0,7.9,Maruti,1474.1045
1426,Ford Figo 2015-2019 1.5P Titanium AT,Mumbai,2017,16000,Petrol,Automatic,First,1499.0,110.4,5.0,5.95,Ford,1184.4063
1941,BMW X5 xDrive 30d,Mumbai,2012,66000,Diesel,Automatic,First,2993.0,258.0,5.0,21.0,BMW,953.649
4291,Skoda Laura Ambiente 2.0 TDI CR AT,Jaipur,2011,115692,Diesel,Automatic,First,1968.0,138.1,5.0,4.5,Skoda,1246.6
214,Maruti Wagon R AMT VXI,Mumbai,2016,8500,Petrol,Automatic,First,998.0,67.0,5.0,4.22,Maruti,1428.1113
1614,Hyundai i20 1.4 CRDi Asta,Hyderabad,2012,60788,Diesel,Manual,First,1396.0,90.0,5.0,4.5,Hyundai,1433.59
4686,Maruti Baleno Zeta 1.2,Delhi,2016,21000,Petrol,Manual,First,1197.0,83.1,5.0,6.21,Maruti,1490.0819999999999
1717,Mahindra Xylo D4,Hyderabad,2015,169000,Diesel,Manual,First,2489.0,93.7,7.0,5.0,Mahindra,931.8335
2755,Honda Brio S Option MT,Kochi,2013,33793,Petrol,Manual,First,1198.0,86.8,5.0,3.74,Honda,1281.1919999999998
2063,Honda Amaze VX i-Vtech,Pune,2013,47000,Petrol,Manual,First,1198.0,86.7,5.0,4.15,Honda,1253.34
3012,Maruti Swift LDI,Hyderabad,2016,52000,Diesel,Manual,First,1248.0,74.0,5.0,5.95,Maruti,1770.1719999999998
4793,Maruti Ciaz VDi Plus,Chennai,2015,90000,Diesel,Manual,First,1248.0,88.5,5.0,6.5,Maruti,1633.6693
1702,BMW X1 sDrive20d,Pune,2011,62943,Diesel,Automatic,Second,1995.0,184.0,5.0,10.95,BMW,1062.7265
4713,Ford Fiesta 1.5 TDCi Titanium,Hyderabad,2014,122800,Diesel,Manual,First,1498.0,89.75,5.0,5.65,Ford,1558.8733
3149,Mahindra XUV500 W8 2WD,Coimbatore,2013,130790,Diesel,Manual,First,2179.0,140.0,7.0,9.24,Mahindra,997.28
2072,Audi A6 2.7 TDI,Mumbai,2009,30000,Diesel,Automatic,First,2698.0,179.5,5.0,8.95,Audi,772.892
196,Hyundai i10 Magna,Jaipur,2015,43571,Petrol,Manual,First,1197.0,78.9,5.0,3.55,Hyundai,1417.6668
725,Skoda Yeti Elegance 4X2,Jaipur,2016,84000,Diesel,Manual,First,1968.0,108.5,5.0,11.0,Skoda,1104.4876
2513,Maruti Swift VXi BSIV,Kochi,2016,19148,Petrol,Manual,First,1197.0,85.0,5.0,5.89,Maruti,1121.0430000000001
1512,Maruti Swift Dzire ZXi,Delhi,2013,40000,Petrol,Manual,First,1298.0,85.8,5.0,4.25,Maruti,1218.5249999999999
5171,Honda City i DTEC VX,Kochi,2017,65850,Diesel,Manual,First,1498.0,98.6,5.0,9.44,Honda,1564.483
4055,Mercedes-Benz E-Class E350 CDI,Delhi,2014,68000,Diesel,Automatic,First,2987.0,261.5,5.0,27.5,Mercedes-Benz,810.29
4706,Toyota Innova Crysta 2.8 ZX AT,Chennai,2016,80000,Diesel,Automatic,First,2755.0,171.5,7.0,19.5,Toyota,708.0687999999999
1056,Maruti S-Cross Zeta DDiS 200 SH,Coimbatore,2016,74611,Diesel,Manual,First,1248.0,88.5,5.0,7.94,Maruti,1564.483
5556,Hyundai Grand i10 Sportz,Kolkata,2013,28000,Petrol,Manual,First,1197.0,82.0,5.0,3.25,Hyundai,1316.0069999999998
887,Mercedes-Benz New C-Class C 200 CGI,Mumbai,2011,48000,Petrol,Automatic,Second,1991.0,184.0,5.0,9.75,Mercedes-Benz,1026.3462
2337,Hyundai i10 Sportz,Kochi,2012,42591,Petrol,Manual,First,1197.0,78.9,5.0,3.2,Hyundai,1417.6668
1092,Maruti Alto K10 VXI AGS,Pune,2015,73204,Petrol,Automatic,First,998.0,67.1,5.0,3.3,Maruti,1675.9941
3842,Maruti Ertiga ZDI Plus,Hyderabad,2016,42000,Diesel,Manual,First,1248.0,88.5,7.0,9.9,Maruti,1587.5450999999998
4563,Maruti Wagon R VXI,Mumbai,2014,43628,Petrol,Manual,First,998.0,67.04,5.0,3.16,Maruti,1566.675
568,Jeep Compass 2.0 Limited,Jaipur,2018,29000,Diesel,Manual,First,1956.0,170.0,5.0,19.0,Jeep,1065.843
516,BMW X5 xDrive 30d,Hyderabad,2011,75000,Diesel,Automatic,First,2993.0,245.0,5.0,27.5,BMW,729.261
5174,Maruti Alto 800 2016-2019 VXI,Kolkata,2016,4000,Petrol,Manual,First,796.0,47.3,5.0,3.0,Maruti,1719.8609999999999
2029,Maruti SX4 ZXI MT BSIV,Coimbatore,2013,84360,Petrol,Manual,First,1586.0,103.3,5.0,4.12,Maruti,1079.2649999999999
2173,Volkswagen Jetta 2007-2011 2.0 TDI Trendline,Chennai,2012,55000,Diesel,Manual,First,1896.0,105.0,5.0,9.5,Volkswagen,934.9499999999999
139,Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,Petrol,Manual,First,1799.0,130.0,5.0,3.95,Honda,940.0049999999999
5898,Renault Duster 110PS Diesel RXZ Optional with Nav,Mumbai,2013,29000,Diesel,Manual,First,1461.0,108.45,5.0,6.5,Renault,1184.8933
2164,Maruti Swift VDI BSIV W ABS,Hyderabad,2010,86514,Diesel,Manual,First,1248.0,,5.0,4.25,Maruti,1109.474
3252,Toyota Innova 2.5 G4 Diesel 8-seater,Hyderabad,2009,185200,Diesel,Manual,First,2494.0,102.0,8.0,7.25,Toyota,797.8240000000001
2462,Audi Q3 2012-2015 35 TDI Quattro Premium,Mumbai,2015,48000,Diesel,Automatic,First,1968.0,174.33,5.0,18.25,Audi,980.4509
1149,Honda Amaze S Petrol,Kochi,2016,51672,Petrol,Manual,First,1199.0,88.76,5.0,5.68,Honda,1357.7849999999999
3167,Maruti Swift Dzire LXI,Kolkata,2015,107000,Petrol,Manual,First,1197.0,83.14,5.0,4.0,Maruti,1451.7855
5782,Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2012,35000,Diesel,Automatic,First,2993.0,270.9,5.0,29.0,Jaguar,918.7442
5179,Audi A4 2.0 TDI,Hyderabad,2011,54000,Diesel,Automatic,First,1968.0,147.51,5.0,18.0,Audi,1031.5615
5407,Nissan Micra Diesel XV,Kolkata,2011,39010,Diesel,Manual,First,1461.0,63.1,5.0,2.6,Nissan,1438.5764
463,Ford Ecosport 1.5 DV5 MT Titanium,Delhi,2014,31465,Diesel,Manual,First,1498.0,89.84,5.0,6.5,Ford,1414.8909999999998
3323,Honda Civic 2006-2010 1.8 V AT,Mumbai,2007,69000,Petrol,Automatic,Second,1799.0,130.0,5.0,2.25,Honda,898.227
4540,Volkswagen Polo Diesel Comfortline 1.2L,Pune,2010,84000,Diesel,Manual,Second,1199.0,73.9,5.0,2.89,Volkswagen,1375.6231
4996,Honda City 1.5 S MT,Delhi,2009,71499,Petrol,Manual,First,1497.0,118.0,5.0,3.0,Honda,1183.71
594,Maruti Swift Dzire VDi,Hyderabad,2011,81759,Diesel,Manual,First,1248.0,73.9,5.0,4.39,Maruti,1202.969
3094,Ford Fiesta 1.4 ZXi Leather,Chennai,2007,75000,Petrol,Manual,Second,1388.0,68.0,5.0,2.0,Ford,1155.858
1807,Audi A4 2.0 TDI 177 Bhp Premium Plus,Bangalore,2014,21000,Diesel,Automatic,First,1968.0,174.33,5.0,24.5,Audi,1066.4663
3100,Honda City i VTEC V,Delhi,2016,17000,Petrol,Manual,Second,1497.0,117.3,5.0,8.25,Honda,1239.414
450,Hyundai i20 1.2 Asta Option,Coimbatore,2017,26185,Petrol,Manual,First,1197.0,81.83,5.0,7.98,Hyundai,1295.118
2706,Porsche Panamera Diesel 250hp,Kochi,2014,60033,Diesel,Automatic,First,2967.0,250.0,4.0,51.52,Porsche,1133.1594
5121,Hyundai i20 Magna,Mumbai,2010,58000,Petrol,Manual,Second,1197.0,80.0,5.0,2.5,Hyundai,1288.155
5796,Volkswagen Polo 1.2 MPI Trendline,Delhi,2016,27000,Petrol,Manual,First,999.0,74.0,5.0,4.5,Volkswagen,1307.6514
518,Maruti Wagon R LXI,Ahmedabad,2012,30000,Petrol,Manual,First,998.0,67.04,5.0,3.3,Maruti,1566.675
2535,Maruti Swift Dzire Vdi BSIV,Hyderabad,2016,69000,Diesel,Manual,First,1248.0,73.9,5.0,4.79,Maruti,1202.969
312,Volkswagen Vento Diesel Trendline,Hyderabad,2011,108626,Diesel,Manual,First,1598.0,103.6,5.0,3.65,Volkswagen,1280.2582
